,CODIGO_PROYECTO,TIPO_CUENTA,FECHA,AÑO,MES,CREDITO,DEBITO,TOTAL,NOMBRE_OBRA,NOMBRE_CLIENTE,TOTAL_2,MARGEN
1814,P-1705,3. COSTO MANO DE OBRA,2023-06-01,2023.0,6.0,0,0,0,LOS CLARINES,CONSTRUCTORA INARCO S.A.,0,0.0
1815,P-1705,2. COSTO MATERIALES,2023-06-01,2023.0,6.0,0,7000,-7000,LOS CLARINES,CONSTRUCTORA INARCO S.A.,7000,0.0
1816,P-1705,3. COSTO MANO DE OBRA,2023-03-01,2023.0,3.0,0,2804119,-2804119,LOS CLARINES,CONSTRUCTORA INARCO S.A.,2804119,0.0
1817,P-1705,3. COSTO MANO DE OBRA,2023-04-01,2023.0,4.0,0,5553518,-5553518,LOS CLARINES,CONSTRUCTORA INARCO S.A.,5553518,-0.11325878009288375
1818,P-1705,2. COSTO MATERIALES,2023-03-01,2023.0,3.0,0,4305749,-4305749,LOS CLARINES,CONSTRUCTORA INARCO S.A.,4305749,0.0
1819,P-1705,2. COSTO MATERIALES,2023-04-01,2023.0,4.0,0,5634234,-5634234,LOS CLARINES,CONSTRUCTORA INARCO S.A.,5634234,-0.11325878009288375
1820,P-1705,2. COSTO MATERIALES,2023-05-01,2023.0,5.0,76065,5196251,-5120186,LOS CLARINES,CONSTRUCTORA INARCO S.A.,5120186,0.7464035309251889
1821,P-1705,1. INGRESO,2023-02-01,2023.0,2.0,47975,0,47975,LOS CLARINES,CONSTRUCTORA INARCO S.A.,47975,1.0
1822,P-1705,1. INGRESO,2023-04-01,2023.0,4.0,10049552,0,10049552,LOS CLARINES,CONSTRUCTORA INARCO S.A.,10049552,-0.11325878009288375
1823,P-1705,1. INGRESO,2023-05-01,2023.0,5.0,20190289,0,20190289,LOS CLARINES,CONSTRUCTORA INARCO S.A.,20190289,0.7464035309251889
1824,P-1706,1. INGRESO,2023-03-01,2023.0,3.0,0,0,0,CALIFORNIA,CONSTRUCTORA E INVERSIONES VITAL SPA.,0,0.5429729966859025
1825,P-1706,4. COSTO SUPERVISIÓN,2023-02-01,2023.0,2.0,0,0,0,CALIFORNIA,CONSTRUCTORA E INVERSIONES VITAL SPA.,0,-3.6246895337647707
1826,P-1706,3. COSTO MANO DE OBRA,2023-02-01,2023.0,2.0,0,0,0,CALIFORNIA,CONSTRUCTORA E INVERSIONES VITAL SPA.,0,-3.6246895337647707
1827,P-1706,2. COSTO MATERIALES,2023-05-01,2023.0,5.0,0,0,0,CALIFORNIA,CONSTRUCTORA E INVERSIONES VITAL SPA.,0,0.7052553849196339
1828,P-1706,2. COSTO MATERIALES,2023-02-01,2023.0,2.0,0,0,0,CALIFORNIA,CONSTRUCTORA E INVERSIONES VITAL SPA.,0,-3.6246895337647707
1829,P-1706,1. INGRESO,2023-02-01,2023.0,2.0,0,0,0,CALIFORNIA,CONSTRUCTORA E INVERSIONES VITAL SPA.,0,-3.6246895337647707
1830,P-1706,2. COSTO MATERIALES,2023-03-01,2023.0,3.0,0,0,0,CALIFORNIA,CONSTRUCTORA E INVERSIONES VITAL SPA.,0,0.5429729966859025
1831,P-1706,3. COSTO MANO DE OBRA,2023-03-01,2023.0,3.0,0,0,0,CALIFORNIA,CONSTRUCTORA E INVERSIONES VITAL SPA.,0,0.5429729966859025
1832,P-1706,1. INGRESO,2023-06-01,2023.0,6.0,0,0,0,CALIFORNIA,CONSTRUCTORA E INVERSIONES VITAL SPA.,0,0.0
1833,P-1706,1. INGRESO,2023-05-01,2023.0,5.0,0,0,0,CALIFORNIA,CONSTRUCTORA E INVERSIONES VITAL SPA.,0,0.7052553849196339
1834,P-1706,3. COSTO MANO DE OBRA,2023-05-01,2023.0,5.0,0,0,0,CALIFORNIA,CONSTRUCTORA E INVERSIONES VITAL SPA.,0,0.7052553849196339
1835,P-1706,4. COSTO SUPERVISIÓN,2023-05-01,2023.0,5.0,0,0,0,CALIFORNIA,CONSTRUCTORA E INVERSIONES VITAL SPA.,0,0.7052553849196339
1836,P-1706,4. COSTO SUPERVISIÓN,2023-01-01,2023.0,1.0,0,0,0,CALIFORNIA,CONSTRUCTORA E INVERSIONES VITAL SPA.,0,0.0
1837,P-1706,2. COSTO MATERIALES,2023-06-01,2023.0,6.0,0,0,0,CALIFORNIA,CONSTRUCTORA E INVERSIONES VITAL SPA.,0,0.0
1838,P-1706,3. COSTO MANO DE OBRA,2023-06-01,2023.0,6.0,0,0,0,CALIFORNIA,CONSTRUCTORA E INVERSIONES VITAL SPA.,0,0.0
1839,P-1706,4. COSTO SUPERVISIÓN,2023-03-01,2023.0,3.0,0,0,0,CALIFORNIA,CONSTRUCTORA E INVERSIONES VITAL SPA.,0,0.5429729966859025
1840,P-1706,3. COSTO MANO DE OBRA,2023-01-01,2023.0,1.0,0,0,0,CALIFORNIA,CONSTRUCTORA E INVERSIONES VITAL SPA.,0,0.0
1841,P-1706,1. INGRESO,2023-03-01,2023.0,3.0,10029880,0,10029880,CALIFORNIA,CONSTRUCTORA E INVERSIONES VITAL SPA.,10029880,0.5429729966859025
1842,P-1706,1. INGRESO,2023-01-01,2023.0,1.0,0,0,0,CALIFORNIA,CONSTRUCTORA E INVERSIONES VITAL SPA.,0,0.0
1843,P-1706,3. COSTO MANO DE OBRA,2023-04-01,2023.0,4.0,0,0,0,CALIFORNIA,CONSTRUCTORA E INVERSIONES VITAL SPA.,0,0.5976636887627947
1844,P-1706,4. COSTO SUPERVISIÓN,2023-04-01,2023.0,4.0,0,0,0,CALIFORNIA,CONSTRUCTORA E INVERSIONES VITAL SPA.,0,0.5976636887627947
1845,P-1706,3. COSTO MANO DE OBRA,2023-01-01,2023.0,1.0,0,67249,-67249,CALIFORNIA,CONSTRUCTORA E INVERSIONES VITAL SPA.,67249,0.0
1846,P-1706,3. COSTO MANO DE OBRA,2023-02-01,2023.0,2.0,0,1810677,-1810677,CALIFORNIA,CONSTRUCTORA E INVERSIONES VITAL SPA.,1810677,-3.6246895337647707
1847,P-1706,3. COSTO MANO DE OBRA,2023-03-01,2023.0,3.0,0,1800040,-1800040,CALIFORNIA,CONSTRUCTORA E INVERSIONES VITAL SPA.,1800040,0.5429729966859025
1848,P-1706,3. COSTO MANO DE OBRA,2023-04-01,2023.0,4.0,0,1197155,-1197155,CALIFORNIA,CONSTRUCTORA E INVERSIONES VITAL SPA.,1197155,0.5976636887627947
1849,P-1706,2. COSTO MATERIALES,2023-02-01,2023.0,2.0,0,3259532,-3259532,CALIFORNIA,CONSTRUCTORA E INVERSIONES VITAL SPA.,3259532,-3.6246895337647707
1850,P-1706,2. COSTO MATERIALES,2023-03-01,2023.0,3.0,0,2783886,-2783886,CALIFORNIA,CONSTRUCTORA E INVERSIONES VITAL SPA.,2783886,0.5429729966859025
1851,P-1706,2. COSTO MATERIALES,2023-04-01,2023.0,4.0,0,1835912,-1835912,CALIFORNIA,CONSTRUCTORA E INVERSIONES VITAL SPA.,1835912,0.5976636887627947
1852,P-1706,2. COSTO MATERIALES,2023-05-01,2023.0,5.0,0,5198516,-5198516,CALIFORNIA,CONSTRUCTORA E INVERSIONES VITAL SPA.,5198516,0.7052553849196339
1853,P-1706,2. COSTO MATERIALES,2023-06-01,2023.0,6.0,839280,839280,0,CALIFORNIA,CONSTRUCTORA E INVERSIONES VITAL SPA.,0,0.0
1854,P-1706,1. INGRESO,2023-02-01,2023.0,2.0,1096335,0,1096335,CALIFORNIA,CONSTRUCTORA E INVERSIONES VITAL SPA.,1096335,-3.6246895337647707
1855,P-1706,4. COSTO SUPERVISIÓN,2023-06-01,2023.0,6.0,0,0,0,CALIFORNIA,CONSTRUCTORA E INVERSIONES VITAL SPA.,0,0.0
1856,P-1706,1. INGRESO,2023-04-01,2023.0,4.0,7538636,0,7538636,CALIFORNIA,CONSTRUCTORA E INVERSIONES VITAL SPA.,7538636,0.5976636887627947
1857,P-1706,1. INGRESO,2023-05-01,2023.0,5.0,17637357,0,17637357,CALIFORNIA,CONSTRUCTORA E INVERSIONES VITAL SPA.,17637357,0.7052553849196339
1858,P-1706,2. COSTO MATERIALES,2023-01-01,2023.0,1.0,0,0,0,CALIFORNIA,CONSTRUCTORA E INVERSIONES VITAL SPA.,0,0.0
1859,P-1706,2. COSTO MATERIALES,2023-04-01,2023.0,4.0,0,0,0,CALIFORNIA,CONSTRUCTORA E INVERSIONES VITAL SPA.,0,0.5976636887627947
1860,P-1706,1. INGRESO,2023-04-01,2023.0,4.0,0,0,0,CALIFORNIA,CONSTRUCTORA E INVERSIONES VITAL SPA.,0,0.5976636887627947
1861,P-1707,3. COSTO MANO DE OBRA,2023-01-01,2023.0,1.0,0,0,0,LAS TRANQUERAS,CONSTRUCTORA SANTOLAYA LTDA.,0,0.0
1862,P-1707,3. COSTO MANO DE OBRA,2023-02-01,2023.0,2.0,0,1933410,-1933410,LAS TRANQUERAS,CONSTRUCTORA SANTOLAYA LTDA.,1933410,0.0
1863,P-1707,1. INGRESO,2023-01-01,2023.0,1.0,0,0,0,LAS TRANQUERAS,CONSTRUCTORA SANTOLAYA LTDA.,0,0.0
1864,P-1707,4. COSTO SUPERVISIÓN,2023-04-01,2023.0,4.0,0,0,0,LAS TRANQUERAS,CONSTRUCTORA SANTOLAYA LTDA.,0,0.0
1865,P-1707,3. COSTO MANO DE OBRA,2023-04-01,2023.0,4.0,0,0,0,LAS TRANQUERAS,CONSTRUCTORA SANTOLAYA LTDA.,0,0.0
1866,P-1707,2. COSTO MATERIALES,2023-04-01,2023.0,4.0,0,0,0,LAS TRANQUERAS,CONSTRUCTORA SANTOLAYA LTDA.,0,0.0
1867,P-1707,1. INGRESO,2023-04-01,2023.0,4.0,0,0,0,LAS TRANQUERAS,CONSTRUCTORA SANTOLAYA LTDA.,0,0.0
1868,P-1707,4. COSTO SUPERVISIÓN,2023-01-01,2023.0,1.0,0,0,0,LAS TRANQUERAS,CONSTRUCTORA SANTOLAYA LTDA.,0,0.0
1869,P-1707,3. COSTO MANO DE OBRA,2023-03-01,2023.0,3.0,0,312090,-312090,LAS TRANQUERAS,CONSTRUCTORA SANTOLAYA LTDA.,312090,0.9253185966242254
1870,P-1707,2. COSTO MATERIALES,2023-02-01,2023.0,2.0,0,803767,-803767,LAS TRANQUERAS,CONSTRUCTORA SANTOLAYA LTDA.,803767,0.0
1871,P-1707,2. COSTO MATERIALES,2023-04-01,2023.0,4.0,0,2057186,-2057186,LAS TRANQUERAS,CONSTRUCTORA SANTOLAYA LTDA.,2057186,0.0
1872,P-1707,2. COSTO MATERIALES,2023-05-01,2023.0,5.0,257844,5892447,-5634603,LAS TRANQUERAS,CONSTRUCTORA SANTOLAYA LTDA.,5634603,0.20465415262597664
1873,P-1707,2. COSTO MATERIALES,2023-06-01,2023.0,6.0,0,266000,-266000,LAS TRANQUERAS,CONSTRUCTORA SANTOLAYA LTDA.,266000,0.0
1874,P-1707,1. INGRESO,2023-03-01,2023.0,3.0,4178952,0,4178952,LAS TRANQUERAS,CONSTRUCTORA SANTOLAYA LTDA.,4178952,0.9253185966242254
1875,P-1707,1. INGRESO,2023-05-01,2023.0,5.0,7084469,0,7084469,LAS TRANQUERAS,CONSTRUCTORA SANTOLAYA LTDA.,7084469,0.20465415262597664
1876,P-1707,3. COSTO MANO DE OBRA,2023-04-01,2023.0,4.0,0,1568341,-1568341,LAS TRANQUERAS,CONSTRUCTORA SANTOLAYA LTDA.,1568341,0.0
1877,P-1707,1. INGRESO,2023-02-01,2023.0,2.0,0,0,0,LAS TRANQUERAS,CONSTRUCTORA SANTOLAYA LTDA.,0,0.0
1878,P-1707,2. COSTO MATERIALES,2023-01-01,2023.0,1.0,0,0,0,LAS TRANQUERAS,CONSTRUCTORA SANTOLAYA LTDA.,0,0.0
1879,P-1707,3. COSTO MANO DE OBRA,2023-02-01,2023.0,2.0,0,0,0,LAS TRANQUERAS,CONSTRUCTORA SANTOLAYA LTDA.,0,0.0
1880,P-1707,4. COSTO SUPERVISIÓN,2023-06-01,2023.0,6.0,0,0,0,LAS TRANQUERAS,CONSTRUCTORA SANTOLAYA LTDA.,0,0.0
1881,P-1707,3. COSTO MANO DE OBRA,2023-06-01,2023.0,6.0,0,0,0,LAS TRANQUERAS,CONSTRUCTORA SANTOLAYA LTDA.,0,0.0
1882,P-1707,2. COSTO MATERIALES,2023-06-01,2023.0,6.0,0,0,0,LAS TRANQUERAS,CONSTRUCTORA SANTOLAYA LTDA.,0,0.0
1883,P-1707,2. COSTO MATERIALES,2023-02-01,2023.0,2.0,0,0,0,LAS TRANQUERAS,CONSTRUCTORA SANTOLAYA LTDA.,0,0.0
1884,P-1707,4. COSTO SUPERVISIÓN,2023-05-01,2023.0,5.0,0,0,0,LAS TRANQUERAS,CONSTRUCTORA SANTOLAYA LTDA.,0,0.20465415262597664
1885,P-1707,3. COSTO MANO DE OBRA,2023-05-01,2023.0,5.0,0,0,0,LAS TRANQUERAS,CONSTRUCTORA SANTOLAYA LTDA.,0,0.20465415262597664
1886,P-1707,2. COSTO MATERIALES,2023-05-01,2023.0,5.0,0,0,0,LAS TRANQUERAS,CONSTRUCTORA SANTOLAYA LTDA.,0,0.20465415262597664
1887,P-1707,1. INGRESO,2023-06-01,2023.0,6.0,0,0,0,LAS TRANQUERAS,CONSTRUCTORA SANTOLAYA LTDA.,0,0.0
1888,P-1707,4. COSTO SUPERVISIÓN,2023-03-01,2023.0,3.0,0,0,0,LAS TRANQUERAS,CONSTRUCTORA SANTOLAYA LTDA.,0,0.9253185966242254
1889,P-1707,3. COSTO MANO DE OBRA,2023-03-01,2023.0,3.0,0,0,0,LAS TRANQUERAS,CONSTRUCTORA SANTOLAYA LTDA.,0,0.9253185966242254
1890,P-1707,2. COSTO MATERIALES,2023-03-01,2023.0,3.0,0,0,0,LAS TRANQUERAS,CONSTRUCTORA SANTOLAYA LTDA.,0,0.9253185966242254
1891,P-1707,1. INGRESO,2023-03-01,2023.0,3.0,0,0,0,LAS TRANQUERAS,CONSTRUCTORA SANTOLAYA LTDA.,0,0.9253185966242254
1892,P-1707,4. COSTO SUPERVISIÓN,2023-02-01,2023.0,2.0,0,0,0,LAS TRANQUERAS,CONSTRUCTORA SANTOLAYA LTDA.,0,0.0
1893,P-1707,1. INGRESO,2023-05-01,2023.0,5.0,0,0,0,LAS TRANQUERAS,CONSTRUCTORA SANTOLAYA LTDA.,0,0.20465415262597664
1894,P-1708,2. COSTO MATERIALES,2023-06-01,2023.0,6.0,0,0,0,ECO ESPAÑA,CONSTRUCTORA ICF SPA,0,0.0
1895,P-1708,4. COSTO SUPERVISIÓN,2023-06-01,2023.0,6.0,0,0,0,ECO ESPAÑA,CONSTRUCTORA ICF SPA,0,0.0
1896,P-1708,3. COSTO MANO DE OBRA,2023-03-01,2023.0,3.0,0,550014,-550014,ECO ESPAÑA,CONSTRUCTORA ICF SPA,550014,0.0
1897,P-1708,3. COSTO MANO DE OBRA,2023-04-01,2023.0,4.0,0,921206,-921206,ECO ESPAÑA,CONSTRUCTORA ICF SPA,921206,0.0
1898,P-1708,2. COSTO MATERIALES,2023-04-01,2023.0,4.0,0,125100,-125100,ECO ESPAÑA,CONSTRUCTORA ICF SPA,125100,0.0
1899,P-1708,2. COSTO MATERIALES,2023-06-01,2023.0,6.0,0,45820,-45820,ECO ESPAÑA,CONSTRUCTORA ICF SPA,45820,0.0
1900,P-1708,1. INGRESO,2023-05-01,2023.0,5.0,392191,0,392191,ECO ESPAÑA,CONSTRUCTORA ICF SPA,392191,1.0
1901,P-1708,3. COSTO MANO DE OBRA,2023-06-01,2023.0,6.0,0,0,0,ECO ESPAÑA,CONSTRUCTORA ICF SPA,0,0.0
1902,P-1708,3. COSTO MANO DE OBRA,2023-04-01,2023.0,4.0,0,0,0,ECO ESPAÑA,CONSTRUCTORA ICF SPA,0,0.0
1903,P-1708,2. COSTO MATERIALES,2023-04-01,2023.0,4.0,0,0,0,ECO ESPAÑA,CONSTRUCTORA ICF SPA,0,0.0
1904,P-1708,3. COSTO MANO DE OBRA,2023-05-01,2023.0,5.0,0,0,0,ECO ESPAÑA,CONSTRUCTORA ICF SPA,0,1.0
1905,P-1708,4. COSTO SUPERVISIÓN,2023-05-01,2023.0,5.0,0,0,0,ECO ESPAÑA,CONSTRUCTORA ICF SPA,0,1.0
1906,P-1708,1. INGRESO,2023-04-01,2023.0,4.0,0,0,0,ECO ESPAÑA,CONSTRUCTORA ICF SPA,0,0.0
1907,P-1708,4. COSTO SUPERVISIÓN,2023-04-01,2023.0,4.0,0,0,0,ECO ESPAÑA,CONSTRUCTORA ICF SPA,0,0.0
1908,P-1708,1. INGRESO,2023-01-01,2023.0,1.0,0,0,0,ECO ESPAÑA,CONSTRUCTORA ICF SPA,0,0.0
1909,P-1708,2. COSTO MATERIALES,2023-01-01,2023.0,1.0,0,0,0,ECO ESPAÑA,CONSTRUCTORA ICF SPA,0,0.0
1910,P-1708,3. COSTO MANO DE OBRA,2023-01-01,2023.0,1.0,0,0,0,ECO ESPAÑA,CONSTRUCTORA ICF SPA,0,0.0
1911,P-1708,4. COSTO SUPERVISIÓN,2023-01-01,2023.0,1.0,0,0,0,ECO ESPAÑA,CONSTRUCTORA ICF SPA,0,0.0
1912,P-1708,1. INGRESO,2023-02-01,2023.0,2.0,0,0,0,ECO ESPAÑA,CONSTRUCTORA ICF SPA,0,0.0
1913,P-1708,1. INGRESO,2023-06-01,2023.0,6.0,0,0,0,ECO ESPAÑA,CONSTRUCTORA ICF SPA,0,0.0
1914,P-1708,3. COSTO MANO DE OBRA,2023-02-01,2023.0,2.0,0,0,0,ECO ESPAÑA,CONSTRUCTORA ICF SPA,0,0.0
1915,P-1708,4. COSTO SUPERVISIÓN,2023-02-01,2023.0,2.0,0,0,0,ECO ESPAÑA,CONSTRUCTORA ICF SPA,0,0.0
1916,P-1708,1. INGRESO,2023-03-01,2023.0,3.0,0,0,0,ECO ESPAÑA,CONSTRUCTORA ICF SPA,0,0.0
1917,P-1708,2. COSTO MATERIALES,2023-03-01,2023.0,3.0,0,0,0,ECO ESPAÑA,CONSTRUCTORA ICF SPA,0,0.0
1918,P-1708,3. COSTO MANO DE OBRA,2023-03-01,2023.0,3.0,0,0,0,ECO ESPAÑA,CONSTRUCTORA ICF SPA,0,0.0
1919,P-1708,4. COSTO SUPERVISIÓN,2023-03-01,2023.0,3.0,0,0,0,ECO ESPAÑA,CONSTRUCTORA ICF SPA,0,0.0
1920,P-1708,1. INGRESO,2023-05-01,2023.0,5.0,0,0,0,ECO ESPAÑA,CONSTRUCTORA ICF SPA,0,1.0
1921,P-1708,2. COSTO MATERIALES,2023-02-01,2023.0,2.0,0,0,0,ECO ESPAÑA,CONSTRUCTORA ICF SPA,0,0.0
1922,P-1708,2. COSTO MATERIALES,2023-05-01,2023.0,5.0,0,0,0,ECO ESPAÑA,CONSTRUCTORA ICF SPA,0,1.0
1923,P-1709,4. COSTO SUPERVISIÓN,2023-03-01,2023.0,3.0,0,0,0,CENTRO COMERCIAL PASEO SAN PEDRO,EBCO S.A.,0,0.7667450610332736
1924,P-1709,1. INGRESO,2023-05-01,2023.0,5.0,0,0,0,CENTRO COMERCIAL PASEO SAN PEDRO,EBCO S.A.,0,0.7165428473090296
1925,P-1709,2. COSTO MATERIALES,2023-05-01,2023.0,5.0,0,0,0,CENTRO COMERCIAL PASEO SAN PEDRO,EBCO S.A.,0,0.7165428473090296
1926,P-1709,1. INGRESO,2023-06-01,2023.0,6.0,0,0,0,CENTRO COMERCIAL PASEO SAN PEDRO,EBCO S.A.,0,0.0
1927,P-1709,4. COSTO SUPERVISIÓN,2023-05-01,2023.0,5.0,0,0,0,CENTRO COMERCIAL PASEO SAN PEDRO,EBCO S.A.,0,0.7165428473090296
1928,P-1709,3. COSTO MANO DE OBRA,2023-03-01,2023.0,3.0,0,0,0,CENTRO COMERCIAL PASEO SAN PEDRO,EBCO S.A.,0,0.7667450610332736
1929,P-1709,3. COSTO MANO DE OBRA,2023-06-01,2023.0,6.0,0,0,0,CENTRO COMERCIAL PASEO SAN PEDRO,EBCO S.A.,0,0.0
1930,P-1709,4. COSTO SUPERVISIÓN,2023-06-01,2023.0,6.0,0,0,0,CENTRO COMERCIAL PASEO SAN PEDRO,EBCO S.A.,0,0.0
1931,P-1709,3. COSTO MANO DE OBRA,2023-05-01,2023.0,5.0,0,0,0,CENTRO COMERCIAL PASEO SAN PEDRO,EBCO S.A.,0,0.7165428473090296
1932,P-1709,2. COSTO MATERIALES,2023-03-01,2023.0,3.0,0,0,0,CENTRO COMERCIAL PASEO SAN PEDRO,EBCO S.A.,0,0.7667450610332736
1933,P-1709,1. INGRESO,2023-02-01,2023.0,2.0,0,0,0,CENTRO COMERCIAL PASEO SAN PEDRO,EBCO S.A.,0,0.6318865584923641
1934,P-1709,4. COSTO SUPERVISIÓN,2023-02-01,2023.0,2.0,0,0,0,CENTRO COMERCIAL PASEO SAN PEDRO,EBCO S.A.,0,0.6318865584923641
1935,P-1709,3. COSTO MANO DE OBRA,2023-02-01,2023.0,2.0,0,0,0,CENTRO COMERCIAL PASEO SAN PEDRO,EBCO S.A.,0,0.6318865584923641
1936,P-1709,2. COSTO MATERIALES,2023-02-01,2023.0,2.0,0,0,0,CENTRO COMERCIAL PASEO SAN PEDRO,EBCO S.A.,0,0.6318865584923641
1937,P-1709,4. COSTO SUPERVISIÓN,2023-01-01,2023.0,1.0,0,0,0,CENTRO COMERCIAL PASEO SAN PEDRO,EBCO S.A.,0,0.12283308315418909
1938,P-1709,3. COSTO MANO DE OBRA,2023-01-01,2023.0,1.0,0,0,0,CENTRO COMERCIAL PASEO SAN PEDRO,EBCO S.A.,0,0.12283308315418909
1939,P-1709,2. COSTO MATERIALES,2023-01-01,2023.0,1.0,0,0,0,CENTRO COMERCIAL PASEO SAN PEDRO,EBCO S.A.,0,0.12283308315418909
1940,P-1709,1. INGRESO,2023-01-01,2023.0,1.0,0,0,0,CENTRO COMERCIAL PASEO SAN PEDRO,EBCO S.A.,0,0.12283308315418909
1941,P-1709,3. COSTO MANO DE OBRA,2023-04-01,2023.0,4.0,0,0,0,CENTRO COMERCIAL PASEO SAN PEDRO,EBCO S.A.,0,0.22482657547838683
1942,P-1709,2. COSTO MATERIALES,2023-04-01,2023.0,4.0,0,0,0,CENTRO COMERCIAL PASEO SAN PEDRO,EBCO S.A.,0,0.22482657547838683
1943,P-1709,1. INGRESO,2023-04-01,2023.0,4.0,0,0,0,CENTRO COMERCIAL PASEO SAN PEDRO,EBCO S.A.,0,0.22482657547838683
1944,P-1709,1. INGRESO,2023-03-01,2023.0,3.0,0,0,0,CENTRO COMERCIAL PASEO SAN PEDRO,EBCO S.A.,0,0.7667450610332736
1945,P-1709,4. COSTO SUPERVISIÓN,2023-04-01,2023.0,4.0,0,0,0,CENTRO COMERCIAL PASEO SAN PEDRO,EBCO S.A.,0,0.22482657547838683
1946,P-1709,2. COSTO MATERIALES,2023-06-01,2023.0,6.0,0,0,0,CENTRO COMERCIAL PASEO SAN PEDRO,EBCO S.A.,0,0.0
1947,P-1709,2. COSTO MATERIALES,2023-04-01,2023.0,4.0,3244,8592741,-8589497,CENTRO COMERCIAL PASEO SAN PEDRO,EBCO S.A.,8589497,0.22482657547838683
1948,P-1709,1. INGRESO,2023-05-01,2023.0,5.0,11127770,0,11127770,CENTRO COMERCIAL PASEO SAN PEDRO,EBCO S.A.,11127770,0.7165428473090296
1949,P-1709,1. INGRESO,2023-03-01,2023.0,3.0,20143029,0,20143029,CENTRO COMERCIAL PASEO SAN PEDRO,EBCO S.A.,20143029,0.7667450610332736
1950,P-1709,1. INGRESO,2023-02-01,2023.0,2.0,20118703,0,20118703,CENTRO COMERCIAL PASEO SAN PEDRO,EBCO S.A.,20118703,0.6318865584923641
1951,P-1709,1. INGRESO,2023-01-01,2023.0,1.0,11346536,0,11346536,CENTRO COMERCIAL PASEO SAN PEDRO,EBCO S.A.,11346536,0.12283308315418909
1952,P-1709,3. COSTO MANO DE OBRA,2023-01-01,2023.0,1.0,0,2329046,-2329046,CENTRO COMERCIAL PASEO SAN PEDRO,EBCO S.A.,2329046,0.12283308315418909
1953,P-1709,1. INGRESO,2023-04-01,2023.0,4.0,14091577,0,14091577,CENTRO COMERCIAL PASEO SAN PEDRO,EBCO S.A.,14091577,0.22482657547838683
1954,P-1709,3. COSTO MANO DE OBRA,2023-03-01,2023.0,3.0,0,2443674,-2443674,CENTRO COMERCIAL PASEO SAN PEDRO,EBCO S.A.,2443674,0.7667450610332736
1955,P-1709,3. COSTO MANO DE OBRA,2023-02-01,2023.0,2.0,0,2536331,-2536331,CENTRO COMERCIAL PASEO SAN PEDRO,EBCO S.A.,2536331,0.6318865584923641
1956,P-1709,2. COSTO MATERIALES,2023-02-01,2023.0,2.0,301175,5170809,-4869634,CENTRO COMERCIAL PASEO SAN PEDRO,EBCO S.A.,4869634,0.6318865584923641
1957,P-1709,2. COSTO MATERIALES,2023-01-01,2023.0,1.0,0,7623760,-7623760,CENTRO COMERCIAL PASEO SAN PEDRO,EBCO S.A.,7623760,0.12283308315418909
1958,P-1709,2. COSTO MATERIALES,2023-03-01,2023.0,3.0,116815,2371602,-2254787,CENTRO COMERCIAL PASEO SAN PEDRO,EBCO S.A.,2254787,0.7667450610332736
1959,P-1709,3. COSTO MANO DE OBRA,2023-04-01,2023.0,4.0,0,2333919,-2333919,CENTRO COMERCIAL PASEO SAN PEDRO,EBCO S.A.,2333919,0.22482657547838683
1960,P-1709,2. COSTO MATERIALES,2023-05-01,2023.0,5.0,0,3154246,-3154246,CENTRO COMERCIAL PASEO SAN PEDRO,EBCO S.A.,3154246,0.7165428473090296
1961,P-1712,2. COSTO MATERIALES,2023-06-01,2023.0,6.0,0,3262061,-3262061,CENTRO COMERCIAL VIÑA OUTLET PARK,EBCO S.A.,3262061,0.0
1962,P-1712,3. COSTO MANO DE OBRA,2023-01-01,2023.0,1.0,0,3065096,-3065096,CENTRO COMERCIAL VIÑA OUTLET PARK,EBCO S.A.,3065096,0.0
1963,P-1712,4. COSTO SUPERVISIÓN,2023-06-01,2023.0,6.0,0,0,0,CENTRO COMERCIAL VIÑA OUTLET PARK,EBCO S.A.,0,0.0
1964,P-1712,3. COSTO MANO DE OBRA,2023-03-01,2023.0,3.0,0,2083302,-2083302,CENTRO COMERCIAL VIÑA OUTLET PARK,EBCO S.A.,2083302,0.5216748472753783
1965,P-1712,3. COSTO MANO DE OBRA,2023-04-01,2023.0,4.0,0,2791400,-2791400,CENTRO COMERCIAL VIÑA OUTLET PARK,EBCO S.A.,2791400,-0.37766525339135787
1966,P-1712,2. COSTO MATERIALES,2023-01-01,2023.0,1.0,0,1762947,-1762947,CENTRO COMERCIAL VIÑA OUTLET PARK,EBCO S.A.,1762947,0.0
1967,P-1712,2. COSTO MATERIALES,2023-02-01,2023.0,2.0,210848,1903078,-1692230,CENTRO COMERCIAL VIÑA OUTLET PARK,EBCO S.A.,1692230,0.0
1968,P-1712,2. COSTO MATERIALES,2023-03-01,2023.0,3.0,0,2944488,-2944488,CENTRO COMERCIAL VIÑA OUTLET PARK,EBCO S.A.,2944488,0.5216748472753783
1969,P-1712,2. COSTO MATERIALES,2023-04-01,2023.0,4.0,0,7207806,-7207806,CENTRO COMERCIAL VIÑA OUTLET PARK,EBCO S.A.,7207806,-0.37766525339135787
1970,P-1712,2. COSTO MATERIALES,2023-05-01,2023.0,5.0,0,5124213,-5124213,CENTRO COMERCIAL VIÑA OUTLET PARK,EBCO S.A.,5124213,0.0
1971,P-1712,3. COSTO MANO DE OBRA,2023-02-01,2023.0,2.0,0,2079803,-2079803,CENTRO COMERCIAL VIÑA OUTLET PARK,EBCO S.A.,2079803,0.0
